No.,Date,Challenger,Defendant,Winner,Format,Notes
1,19/01/18,Rory,Jodgers,Jodgers,Challenge,
2,19/01/18,Jimbo,Rory,Jimbo,Challenge,
3,19/01/18,Callum,Rory,Callum,Challenge,Palutena breakout
4,19/01/18,Jay,Rory,Rory,Challenge,
5,19/01/18,Charlie,Callum,Charlie,Challenge,
6,19/01/18,Rhodey,Jimbo,Jimbo,Challenge,
7,19/01/18,Mathew,Rhodey,Rhodey,Challenge,
8,19/01/18,Harry,Rhodey,Harry,Challenge,
9,19/01/18,Jamie,Cameron,Jamie,Challenge,
10,19/01/18,Ally,Mathew,Ally,Challenge,Training weights come off
11,02/02/18,Rory,Jimbo,Jimbo,Challenge,
12,02/02/18,Rory,Jodgers,Rory,Challenge,
13,02/02/18,Burns,Jodgers,Jodgers,Challenge,
14,02/02/18,Charlie,Burns,Burns,Challenge,
15,02/02/18,Jay,Charlie,Charlie,Challenge,
16,02/02/18,Callum,Jodgers,Jodgers,Challenge,
17,02/02/18,Harry,Burns,Harry,Challenge,
18,02/02/18,Mathew,Callum,Callum,Challenge,
19,02/02/18,Cameron,Callum,Callum,Challenge,
20,02/02/18,Toni,Jay,Jay,Challenge,
21,02/02/18,Josef,Mathew,Mathew,Challenge,
22,09/02/18,Jimbo,Rory,Jimbo,Challenge,
23,09/02/18,Jodgers,Rory,Rory,Challenge,
24,09/02/18,Charlie,Jodgers,Jodgers,Challenge,
25,09/02/18,Harry,Charlie,Charlie,Challenge,
26,09/02/18,Jay,Jodgers,Jodgers,Challenge,
27,09/02/18,Burns,Charlie,Burns,Challenge,
28,09/02/18,Jamie,Harry,Jamie,Challenge,
29,09/02/18,Ally,Rory,Rory,Challenge,
30,09/02/18,Mathew,Ally,Mathew,Challenge,
31,09/02/18,Rhodey,Mathew,Rhodey,Challenge,
32,09/02/18,Cameron,Ally,Cameron,Challenge,
33,09/02/18,Gary,Jay,Jay,Challenge,Gary's debut
34,09/02/18,Charles,Gary,Charles,Challenge,Charles' debut
35,16/02/18,Rory,Jimbo,Jimbo,Challenge,
36,16/02/18,Jodgers,Rory,Jodgers,Challenge,
37,16/02/18,Burns,Rory,Burns,Challenge,
38,16/02/18,Jamie,Rory,Rory,Challenge,
39,16/02/18,Jay,Jamie,Jamie,Challenge,
40,16/02/18,Callum,Rory,Rory,Challenge,
41,16/02/18,Charlie,Jodgers,Jodgers,Challenge,
42,16/02/18,Harry,Burns,Harry,Challenge,
43,16/02/18,Rhodey,Jay,Rhodey,Challenge,
44,16/02/18,Toni,Charlie,Charlie,Challenge,Charlie's first match on a GC Controller
45,16/02/18,Ally,Cameron,Cameron,Challenge,
46,16/02/18,Josef,Toni,Toni,Challenge,
47,23/02/18,Charles,Ally,Charles,Tournament,
48,23/02/18,Jimbo,Charlie,Jimbo,Tournament,
49,23/02/18,Rhodey,Rory,Rhodey,Tournament,
50,23/02/18,Jay,Burns,Jay,Tournament,
51,23/02/18,Toni,Matthew,Toni,Tournament,
52,23/02/18,Harry,Callum,Harry,Tournament,
53,23/02/18,Jodgers,Mathew,Jodgers,Tournament,
54,23/02/18,Jimbo,Jamie,Jimbo,Tournament,
55,23/02/18,Rory,Ally,Rory,Tournament,
56,23/02/18,Burns,Matthew,Burns,Tournament,
57,23/02/18,Charles,Rhodey,Charles,Tournament,
58,23/02/18,Jay,Toni,Jay,Tournament,
59,23/02/18,Callum,Mathew,Callum,Tournament,
60,23/02/18,Jodgers,Harry,Jodgers,Tournament,
61,23/02/18,Rory,Toni,Rory,Tournament,
62,23/02/18,Rhodey,Burns,Rhodey,Tournament,
63,23/02/18,Jimbo,Charles,Jimbo,Tournament,
64,23/02/18,Charlie,Harry,Charlie,Tournament,
65,23/02/18,Jamie,Callum,Jamie,Tournament,
66,23/02/18,Jodgers,Jay,Jodgers,Tournament,
67,23/02/18,Rhodey,Jamie,Rhodey,Tournament,
68,23/02/18,Charlie,Rory,Charlie,Tournament,
69,23/02/18,Rhodey,Jay,Rhodey,Tournament,
70,23/02/18,Charles,Charlie,Charles,Tournament,
71,23/02/18,Jodgers,Jimbo,Jodgers,Tournament,
72,23/02/18,Charles,Rhodey,Charles,Tournament,
73,23/02/18,Charles,Jimbo,Charles,Tournament,
74,23/02/18,Charles,Jodgers,Charles,Tournament,Grand Finals
75,23/02/18,Charles,Jodgers,Charles,Tournament,Bracket Reset
76,09/03/18,Jodgers,Jimbo,Jodgers,Challenge,
77,09/03/18,Rory,Jimbo,Rory,Challenge,
78,09/03/18,Jamie,Jimbo,Jamie,Challenge,
79,09/03/18,Harry,Jimbo,Harry,Challenge,
80,09/03/18,Rhodey,Rory,Rory,Challenge,
81,09/03/18,Callum,Jamie,Callum,Challenge,
82,09/03/18,Charlie,Harry,Charlie,Challenge,
83,09/03/18,Burns,Jimbo,Burns,Challenge,
84,09/03/18,Jay,Rhodey,Rhodey,Challenge,
85,09/03/18,Toni,Jamie,Jamie,Challenge,
86,09/03/18,Cameron,Charlie,Charlie,Challenge,
